canonical_key,operator,line,render_kind,shape_class,session,built,display_line_ids,parts,drawn_km,drawn_stations,n02_km,semantic_km,audit_stations,n02_station_features,audit_edges,anchor_pass,anchor_warning,anchor_error,topology_status,topology_findings,builder_notes,skip_edges_dropped,not_drawn_reason,official_km,official_stations,source_url,verdict,review_notes
IRいしかわ鉄道␟IRいしかわ鉄道線,IRいしかわ鉄道,IRいしかわ鉄道線,third_sector,ordinary_linear,55,yes,jp-IRいしかわ鉄道-IRいしかわ鉄道線,1,64.304,19,64.53,60.188,19,19,18,19,0,0,PASS,,,0,,,,,,
JR東海交通事業␟城北線,JR東海交通事業,城北線,private,ordinary_linear,52,yes,jp-JR東海交通事業-城北線,1,11.25,6,12.07,10.635,6,6,5,6,0,0,PASS,,,0,,,,,,
WILLER　TRAINS␟宮津線,WILLER　TRAINS,宮津線,third_sector,ordinary_linear,53,yes,jp-WILLER　TRAINS-宮津線,1,83.823,19,84.086,81.262,19,19,18,19,0,0,PASS,,,0,,,,,,
WILLER　TRAINS␟宮福線,WILLER　TRAINS,宮福線,third_sector,ordinary_linear,53,yes,jp-WILLER　TRAINS-宮福線,1,30.443,14,30.548,29.431,14,14,13,14,0,0,PASS,,,0,,,,,,
あいの風とやま鉄道␟あいの風とやま鉄道線,あいの風とやま鉄道,あいの風とやま鉄道線,third_sector,ordinary_linear,54,yes,jp-あいの風とやま鉄道-あいの風とやま鉄道線,1,100.053,23,104.841,95.13,23,23,22,23,0,0,PASS,,,0,,,,,,
いすみ鉄道␟いすみ線,いすみ鉄道,いすみ線,third_sector,ordinary_linear,56,yes,jp-いすみ鉄道-いすみ線,1,26.925,14,27.048,25.823,14,14,13,14,0,0,PASS,,,0,,,,,,
えちごトキめき鉄道␟妙高はねうまライン,えちごトキめき鉄道,妙高はねうまライン,third_sector,ordinary_linear,54,yes,jp-えちごトキめき鉄道-妙高はねうまライン,1,37.064,10,37.115,35.428,10,10,9,9,1,0,PASS,,,0,,,,,,
えちごトキめき鉄道␟日本海ひすいライン,えちごトキめき鉄道,日本海ひすいライン,third_sector,ordinary_linear,54,yes,jp-えちごトキめき鉄道-日本海ひすいライン,1,59.053,13,63.841,56.511,13,13,12,13,0,0,PASS,,,0,,,,,,
えちぜん鉄道␟三国芦原線,えちぜん鉄道,三国芦原線,third_sector,ordinary_linear,54,yes,jp-えちぜん鉄道-三国芦原線,1,25.342,22,25.406,23.814,22,22,21,22,0,0,PASS,,,0,,,,,,
えちぜん鉄道␟勝山永平寺線,えちぜん鉄道,勝山永平寺線,third_sector,ordinary_linear,54,yes,jp-えちぜん鉄道-勝山永平寺線,1,27.621,23,27.696,26.041,23,23,22,23,0,0,PASS,,,0,,,,,,
くま川鉄道␟湯前線,くま川鉄道,湯前線,third_sector,ordinary_linear,56,yes,jp-くま川鉄道-湯前線,1,24.768,14,24.926,23.74,14,14,13,14,0,0,PASS,,,0,,,,,,
こうべ未来都市機構␟摩耶ケーブル線,こうべ未来都市機構,摩耶ケーブル線,funicular,ordinary_linear,65,yes,jp-こうべ未来都市機構-摩耶ケーブル線,1,0.845,2,0.895,0.796,2,2,1,2,0,0,PASS,,,0,,,,,,
しなの鉄道␟しなの鉄道線,しなの鉄道,しなの鉄道線,third_sector,ordinary_linear,53,yes,jp-しなの鉄道-しなの鉄道線,1,64.956,19,65.265,60.684,19,19,18,19,0,0,PASS,,,0,,,,,,
しなの鉄道␟北しなの線,しなの鉄道,北しなの線,third_sector,ordinary_linear,53,yes,jp-しなの鉄道-北しなの線,1,37.369,8,37.577,35.882,8,8,7,8,0,0,PASS,,,0,,,,,,
とさでん交通␟伊野線,とさでん交通,伊野線,tram,ordinary_linear,60,yes,jp-とさでん交通-伊野線,1,11.168,34,11.215,9.254,34,34,33,34,0,0,PASS,,,0,,,,,,
とさでん交通␟後免線,とさでん交通,後免線,tram,ordinary_linear,60,yes,jp-とさでん交通-後免線,1,10.817,33,10.88,8.805,33,33,32,33,0,0,PASS,,,0,,,,,,
とさでん交通␟桟橋線,とさでん交通,桟橋線,tram,ordinary_linear,60,yes,jp-とさでん交通-桟橋線,1,2.313,8,2.365,2.0,8,8,7,8,0,0,PASS,,,0,,,,,,
とさでん交通␟駅前線,とさでん交通,駅前線,tram,ordinary_linear,60,yes,jp-とさでん交通-駅前線,1,0.828,4,0.879,0.709,4,4,3,4,0,0,PASS,,,0,,,,,,
のと鉄道␟七尾線,のと鉄道,七尾線,third_sector,ordinary_linear,55,yes,jp-のと鉄道-七尾線,1,33.128,8,33.309,32.255,8,8,7,8,0,0,PASS,,,0,,,,,,
ひたちなか海浜鉄道␟湊線,ひたちなか海浜鉄道,湊線,third_sector,ordinary_linear,57,yes,jp-ひたちなか海浜鉄道-湊線,1,14.158,11,14.23,13.292,11,11,10,11,0,0,PASS,,,0,,,,,,
ゆりかもめ␟東京臨海新交通臨海線,ゆりかもめ,東京臨海新交通臨海線,agt,ordinary_linear,63,yes,jp-ゆりかもめ-東京臨海新交通臨海線,1,14.691,16,14.864,13.364,16,16,15,16,0,0,PASS,,,0,,,,,,
わたらせ渓谷鐵道␟わたらせ渓谷線,わたらせ渓谷鐵道,わたらせ渓谷線,third_sector,ordinary_linear,55,yes,jp-わたらせ渓谷鐵道-わたらせ渓谷線,1,44.148,17,44.265,42.831,17,17,16,17,0,0,PASS,,,0,,,,,,
アイジーアールいわて銀河鉄道␟いわて銀河鉄道線,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,third_sector,ordinary_linear,54,yes,jp-アイジーアールいわて銀河鉄道-いわて銀河鉄道線,1,82.123,18,92.559,78.813,18,18,17,18,0,0,PASS,,,0,,,,,,
アルピコ交通␟上高地線,アルピコ交通,上高地線,private,ordinary_linear,51,yes,jp-アルピコ交通-上高地線,1,14.403,14,14.494,13.496,14,14,13,14,0,0,PASS,,,0,,,,,,
ハピラインふくい␟ハピラインふくい線,ハピラインふくい,ハピラインふくい線,third_sector,ordinary_linear,54,yes,jp-ハピラインふくい-ハピラインふくい線,1,84.414,20,85.781,80.597,20,19,19,20,0,0,PASS,,"1 interval(s) differ from the audited distance: [('王子保', 'しきぶ', 2.687, 2.472)]",0,,,,,,
ラクテンチ␟別府ラクテンチケーブル線,ラクテンチ,別府ラクテンチケーブル線,funicular,ordinary_linear,65,yes,jp-ラクテンチ-別府ラクテンチケーブル線,1,0.238,2,0.287,0.19,2,2,1,2,0,0,PASS,,,0,,,,,,
一畑電車␟北松江線,一畑電車,北松江線,private,ordinary_linear,49,yes,jp-一畑電車-北松江線,1,33.925,22,34.01,32.265,22,22,21,22,0,0,PASS,,,0,,,,,,
一畑電車␟大社線,一畑電車,大社線,private,ordinary_linear,49,yes,jp-一畑電車-大社線,1,8.32,5,8.394,8.015,5,5,4,5,0,0,PASS,,,0,,,,,,
一般社団法人札幌市交通事業振興公社␟1条線,一般社団法人札幌市交通事業振興公社,1条線,tram,ordinary_linear,61,yes,jp-一般社団法人札幌市交通事業振興公社-1条線,1,1.403,4,1.456,1.256,4,4,3,4,0,0,PASS,,,0,,,,,,
一般社団法人札幌市交通事業振興公社␟山鼻線,一般社団法人札幌市交通事業振興公社,山鼻線,tram,ordinary_linear,61,yes,jp-一般社団法人札幌市交通事業振興公社-山鼻線,1,3.975,12,4.024,3.427,12,12,11,12,0,0,PASS,,,0,,,,,,
一般社団法人札幌市交通事業振興公社␟山鼻西線,一般社団法人札幌市交通事業振興公社,山鼻西線,tram,ordinary_linear,61,yes,jp-一般社団法人札幌市交通事業振興公社-山鼻西線,1,3.095,9,3.145,2.695,9,9,8,9,0,0,PASS,,,0,,,,,,
一般社団法人札幌市交通事業振興公社␟都心線,一般社団法人札幌市交通事業振興公社,都心線,tram,ordinary_linear,61,yes,jp-一般社団法人札幌市交通事業振興公社-都心線,1,0.441,3,0.92,0.322,3,4,2,3,0,0,PASS,,,0,,,,,,
一般財団法人青函トンネル記念館␟青函トンネル竜飛斜坑線,一般財団法人青函トンネル記念館,青函トンネル竜飛斜坑線,funicular,ordinary_linear,65,yes,jp-一般財団法人青函トンネル記念館-青函トンネル竜飛斜坑線,1,0.247,2,0.296,0.198,2,2,1,2,0,0,PASS,,,0,,,,,,
万葉線␟新湊港線,万葉線,新湊港線,third_sector,ordinary_linear,57,yes,jp-万葉線-新湊港線,1,4.926,8,4.988,4.449,8,8,7,8,0,0,PASS,,,0,,,,,,
万葉線␟高岡軌道線,万葉線,高岡軌道線,tram,ordinary_linear,61,yes,jp-万葉線-高岡軌道線,1,7.947,18,7.986,7.161,18,18,17,18,0,0,PASS,,,0,,,,,,
三岐鉄道␟三岐線,三岐鉄道,三岐線,private,ordinary_linear,49,yes,jp-三岐鉄道-三岐線,1,23.945,14,25.577,24.495,14,14,13,14,0,0,PASS,,,0,,,,,,
三岐鉄道␟北勢線,三岐鉄道,北勢線,private,ordinary_linear,49,yes,jp-三岐鉄道-北勢線,1,20.276,13,20.361,19.324,13,13,12,13,0,0,PASS,,,0,,,,,,
三岐鉄道␟近鉄連絡線,三岐鉄道,近鉄連絡線,private,ordinary_linear,49,no,,0,,,1.171,1.033,1,1,0,0,0,0,,,,0,no adjacency rows for this line,,,,,
三陸鉄道␟リアス線,三陸鉄道,リアス線,third_sector,ordinary_linear,53,yes,jp-三陸鉄道-リアス線,1,55.298,15,55.431,53.827,15,15,14,15,0,0,PASS,,,0,,,,,,
