session,batch_code,country,group,line_id,operator,line,render_kind,shape_class,stations,km,apple_checks,status
2,HK-A,hk,港铁市区重铁,hk-mtr-isl,MTR,港島綫,,ordinary_linear,17,15.021,34,unverified
2,HK-A,hk,港铁市区重铁,hk-mtr-twl,MTR,荃灣綫,,ordinary_linear,16,15.77,32,unverified
2,HK-A,hk,港铁市区重铁,hk-mtr-ktl,MTR,觀塘綫,,ordinary_linear,17,17.313,34,unverified
2,HK-A,hk,港铁市区重铁,hk-mtr-tkl-poa,MTR,將軍澳綫,,branched_terminal,7,9.53,14,unverified
2,HK-A,hk,港铁市区重铁,hk-mtr-tkl-lhp,MTR,將軍澳綫,,branched_terminal,2,3.062,4,unverified
2,HK-A,hk,港铁市区重铁,hk-mtr-sil,MTR,南港島綫,,ordinary_linear,5,6.889,10,unverified
2,HK-A,hk,港铁市区重铁,hk-mtr-drl,MTR,迪士尼綫,,ordinary_linear,2,3.026,4,unverified
3,HK-B,hk,港铁长线与机场走廊,hk-mtr-tml,MTR,屯馬綫,,ordinary_linear,27,56.272,54,unverified
3,HK-B,hk,港铁长线与机场走廊,hk-mtr-eal-low,MTR,東鐵綫,,branched_terminal,14,37.546,28,unverified
3,HK-B,hk,港铁长线与机场走廊,hk-mtr-eal-lmc,MTR,東鐵綫,,branched_terminal,2,6.929,4,unverified
3,HK-B,hk,港铁长线与机场走廊,hk-mtr-ael,MTR,機場快綫,,ordinary_linear,5,34.942,10,unverified
3,HK-B,hk,港铁长线与机场走廊,hk-mtr-tcl,MTR,東涌綫,,ordinary_linear,8,30.721,16,unverified
4,HK-C,hk,轻铁 610/615 族,hk-mtr-lr-610,MTR,輕鐵610綫,,ordinary_linear,26,13.569,52,unverified
4,HK-C,hk,轻铁 610/615 族,hk-mtr-lr-615,MTR,輕鐵615綫,,ordinary_linear,26,13.79,52,unverified
4,HK-C,hk,轻铁 610/615 族,hk-mtr-lr-615p,MTR,輕鐵615P綫,,ordinary_linear,16,6.503,32,unverified
5,HK-D,hk,轻铁 614/751 族,hk-mtr-lr-614,MTR,輕鐵614綫,,ordinary_linear,24,12.924,48,unverified
5,HK-D,hk,轻铁 614/751 族,hk-mtr-lr-614p,MTR,輕鐵614P綫,,ordinary_linear,13,5.644,26,unverified
5,HK-D,hk,轻铁 614/751 族,hk-mtr-lr-751,MTR,輕鐵751綫,,ordinary_linear,23,11.78,46,unverified
5,HK-D,hk,轻铁 614/751 族,hk-mtr-lr-761p,MTR,輕鐵761P綫,,ordinary_linear,14,6.942,28,unverified
6,HK-E,hk,轻铁 505/507 + 天水围环线 + 轻铁网络并集验收,hk-mtr-lr-505,MTR,輕鐵505綫,,ordinary_linear,17,5.724,34,unverified
6,HK-E,hk,轻铁 505/507 + 天水围环线 + 轻铁网络并集验收,hk-mtr-lr-507,MTR,輕鐵507綫,,ordinary_linear,16,6.535,32,unverified
6,HK-E,hk,轻铁 505/507 + 天水围环线 + 轻铁网络并集验收,hk-mtr-lr-705,MTR,輕鐵705綫,,loop,15,5.856,31,unverified
6,HK-E,hk,轻铁 505/507 + 天水围环线 + 轻铁网络并集验收,hk-mtr-lr-706,MTR,輕鐵706綫,,loop,15,5.857,31,unverified
7,HK-F,hk,香港电车 + 香港全境验收,hk-tram-west,香港電車,電車西行綫,,directional_track,55,13.479,110,unverified
7,HK-F,hk,香港电车 + 香港全境验收,hk-tram-east,香港電車,電車東行綫,,directional_track,53,13.297,106,unverified
7,HK-F,hk,香港电车 + 香港全境验收,hk-tram-hv,香港電車,電車跑馬地支綫,,branch_rejoins,11,3.045,22,unverified
7,HK-F,hk,香港电车 + 香港全境验收,hk-tram-np,香港電車,電車北角支綫,,branch_rejoins,4,0.811,8,unverified
8,TW-A,tw,西部干线 山海线汇合组,tw-tra-western-north,國營臺灣鐵路股份有限公司,縱貫線北段,,ordinary_linear,36,125.109,72,unverified
8,TW-A,tw,西部干线 山海线汇合组,tw-tra-taichung,國營臺灣鐵路股份有限公司,臺中線,,branch_rejoins,23,85.674,46,unverified
8,TW-A,tw,西部干线 山海线汇合组,tw-tra-coast,國營臺灣鐵路股份有限公司,海岸線,,branch_rejoins,18,90.373,36,unverified
8,TW-A,tw,西部干线 山海线汇合组,tw-tra-chengzhui,國營臺灣鐵路股份有限公司,成追線,,ordinary_linear,2,2.201,4,unverified
9,TW-B,tw,纵贯线南段 + 屏东线,tw-tra-western-south,國營臺灣鐵路股份有限公司,縱貫線南段,,ordinary_linear,46,189.528,92,unverified
9,TW-B,tw,纵贯线南段 + 屏东线,tw-tra-pingtung,國營臺灣鐵路股份有限公司,屏東線,,ordinary_linear,21,61.257,42,unverified
10,TW-C,tw,东部环岛链,tw-tra-yilan,國營臺灣鐵路股份有限公司,宜蘭線,,ordinary_linear,27,93.503,54,unverified
10,TW-C,tw,东部环岛链,tw-tra-north-link,國營臺灣鐵路股份有限公司,北迴線,,ordinary_linear,13,79.678,26,unverified
10,TW-C,tw,东部环岛链,tw-tra-taitung,國營臺灣鐵路股份有限公司,臺東線,,ordinary_linear,27,151.232,54,unverified
10,TW-C,tw,东部环岛链,tw-tra-south-link,國營臺灣鐵路股份有限公司,南迴線,,ordinary_linear,12,98.054,24,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-thsr-main,台灣高速鐵路股份有限公司,台灣高速鐵路,,ordinary_linear,12,349.256,24,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-tra-jiji,國營臺灣鐵路股份有限公司,集集線,,ordinary_linear,7,29.484,14,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-tra-neiwan,國營臺灣鐵路股份有限公司,內灣線,,ordinary_linear,12,26.401,24,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-tra-pingxi,國營臺灣鐵路股份有限公司,平溪線,,ordinary_linear,7,12.711,14,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-tra-shalun,國營臺灣鐵路股份有限公司,沙崙線,,ordinary_linear,3,5.69,6,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-tra-shenao,國營臺灣鐵路股份有限公司,深澳線,,ordinary_linear,3,4.573,6,unverified
11,TW-D,tw,台铁支线 + 高铁,tw-tra-liujia,國營臺灣鐵路股份有限公司,六家線,,ordinary_linear,2,3.156,4,unverified
12,TW-E,tw,台北捷运 红/蓝/绿/棕,tw-trtc-r,臺北大眾捷運股份有限公司,淡水信義線,,branched_terminal,27,28.234,54,unverified
12,TW-E,tw,台北捷运 红/蓝/绿/棕,tw-trtc-r-xinbeitou,臺北大眾捷運股份有限公司,新北投支線,,branched_terminal,2,1.037,4,unverified
12,TW-E,tw,台北捷运 红/蓝/绿/棕,tw-trtc-bl,臺北大眾捷運股份有限公司,板南線,,ordinary_linear,23,26.518,46,unverified
12,TW-E,tw,台北捷运 红/蓝/绿/棕,tw-trtc-g,臺北大眾捷運股份有限公司,松山新店線,,branched_terminal,19,18.974,38,unverified
12,TW-E,tw,台北捷运 红/蓝/绿/棕,tw-trtc-g-xiaobitan,臺北大眾捷運股份有限公司,小碧潭支線,,branched_terminal,2,1.889,4,unverified
12,TW-E,tw,台北捷运 红/蓝/绿/棕,tw-trtc-br,臺北大眾捷運股份有限公司,文湖線,,ordinary_linear,24,24.987,48,unverified
13,TW-F,tw,中和新芦线 + 桃机捷,tw-trtc-o-huilong,臺北大眾捷運股份有限公司,中和新蘆線,,branched_terminal,21,23.938,42,unverified
13,TW-F,tw,中和新芦线 + 桃机捷,tw-trtc-o-luzhou,臺北大眾捷運股份有限公司,中和新蘆線,,branched_terminal,6,5.978,12,unverified
13,TW-F,tw,中和新芦线 + 桃机捷,tw-tym-a,桃園大眾捷運股份有限公司,桃園機場捷運,,ordinary_linear,22,51.805,44,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-trtc-y,新北大眾捷運股份有限公司,環狀線,,ordinary_linear,14,14.961,28,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-ntmetro-lb,新北大眾捷運股份有限公司,三鶯線,,ordinary_linear,12,13.639,24,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-ntmetro-v-green,新北大眾捷運股份有限公司,淡海輕軌綠山線,,branched_terminal,11,7.276,22,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-ntmetro-v-blue,新北大眾捷運股份有限公司,淡海輕軌藍海線,,branched_terminal,4,2.415,8,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-ntmetro-k,新北大眾捷運股份有限公司,安坑輕軌,,ordinary_linear,9,7.01,18,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-tcmrt-g,臺中捷運股份有限公司,臺中捷運綠線,,ordinary_linear,18,16.883,36,unverified
14,TW-G,tw,新北捷运 + 台中 + 高雄红线,tw-krtc-r,高雄捷運股份有限公司,高雄捷運紅線,,ordinary_linear,25,29.926,50,unverified
15,TW-H,tw,高雄橘线/环状轻轨 + 阿里山 + 台湾全境验收,tw-krtc-o,高雄捷運股份有限公司,高雄捷運橘線,,ordinary_linear,14,13.102,28,unverified
15,TW-H,tw,高雄橘线/环状轻轨 + 阿里山 + 台湾全境验收,tw-klrt-c,高雄捷運股份有限公司,高雄環狀輕軌,,loop,38,22.0,77,unverified
15,TW-H,tw,高雄橘线/环状轻轨 + 阿里山 + 台湾全境验收,tw-alsr-alishan,阿里山林業鐵路及文化資產管理處,阿里山線,,spiral_and_switchbacks,17,71.015,34,unverified
15,TW-H,tw,高雄橘线/环状轻轨 + 阿里山 + 台湾全境验收,tw-alsr-zhushan,阿里山林業鐵路及文化資產管理處,祝山線,,terminal_loop_line,3,5.881,6,unverified
15,TW-H,tw,高雄橘线/环状轻轨 + 阿里山 + 台湾全境验收,tw-alsr-shenmu,阿里山林業鐵路及文化資產管理處,神木線,,branched_terminal,2,1.238,4,unverified
15,TW-H,tw,高雄橘线/环状轻轨 + 阿里山 + 台湾全境验收,tw-alsr-zhaoping,阿里山林業鐵路及文化資產管理處,沼平線,,branched_terminal,2,1.053,4,unverified
16,J01,jp,新幹線,東日本旅客鉄道␟東北新幹線,東日本旅客鉄道,東北新幹線,shinkansen,ordinary_linear,23,675.8,,unverified
16,J01,jp,新幹線,東日本旅客鉄道␟上越新幹線,東日本旅客鉄道,上越新幹線,shinkansen,ordinary_linear,10,270.2,,unverified
16,J01,jp,新幹線,東日本旅客鉄道␟北陸新幹線,東日本旅客鉄道,北陸新幹線,shinkansen,ordinary_linear,8,177.2,,unverified
16,J01,jp,新幹線,西日本旅客鉄道␟山陽新幹線,西日本旅客鉄道,山陽新幹線,shinkansen,ordinary_linear,20,554.9,,unverified
16,J01,jp,新幹線,西日本旅客鉄道␟北陸新幹線,西日本旅客鉄道,北陸新幹線,shinkansen,ordinary_linear,12,294.1,,unverified
16,J01,jp,新幹線,九州旅客鉄道␟九州新幹線,九州旅客鉄道,九州新幹線,shinkansen,ordinary_linear,12,257.5,,unverified
16,J01,jp,新幹線,九州旅客鉄道␟西九州新幹線,九州旅客鉄道,西九州新幹線,shinkansen,ordinary_linear,5,66.3,,unverified
16,J01,jp,新幹線,東海旅客鉄道␟東海道新幹線,東海旅客鉄道,東海道新幹線,shinkansen,branched_terminal,18,518.3,,unverified
16,J01,jp,新幹線,北海道旅客鉄道␟北海道新幹線,北海道旅客鉄道,北海道新幹線,shinkansen,ordinary_linear,4,149.1,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟函館線,北海道旅客鉄道,函館線,jr_conventional,branch_rejoins,84,478.1,,pending
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟根室線,北海道旅客鉄道,根室線,jr_conventional,disconnected,49,361.7,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟宗谷線,北海道旅客鉄道,宗谷線,jr_conventional,branch_rejoins,35,259.7,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟石北線,北海道旅客鉄道,石北線,jr_conventional,disconnected,31,234.8,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟室蘭線,北海道旅客鉄道,室蘭線,jr_conventional,branched_terminal,47,226.9,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟釧網線,北海道旅客鉄道,釧網線,jr_conventional,ordinary_linear,24,166.3,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟石勝線,北海道旅客鉄道,石勝線,jr_conventional,ordinary_linear,7,132.5,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟海峡線,北海道旅客鉄道,海峡線,jr_conventional,disconnected,2,88.9,,pending
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟千歳線,北海道旅客鉄道,千歳線,jr_conventional,branched_terminal,15,63.2,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟富良野線,北海道旅客鉄道,富良野線,jr_conventional,ordinary_linear,17,54.9,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟日高線,北海道旅客鉄道,日高線,jr_conventional,ordinary_linear,4,30.7,,unverified
17,J02,jp,JR北海道在来線,北海道旅客鉄道␟札沼線,北海道旅客鉄道,札沼線,jr_conventional,ordinary_linear,14,29.0,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟東北線,東日本旅客鉄道,東北線,jr_conventional,disconnected,155,606.0,,pending
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟奥羽線,東日本旅客鉄道,奥羽線,jr_conventional,complex_loop,105,508.1,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟常磐線,東日本旅客鉄道,常磐線,jr_conventional,disconnected,81,356.0,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟羽越線,東日本旅客鉄道,羽越線,jr_conventional,ordinary_linear,60,290.4,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟中央線,東日本旅客鉄道,中央線,jr_conventional,branch_rejoins,75,274.5,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟上越線,東日本旅客鉄道,上越線,jr_conventional,complex_multicycle,39,197.9,,pending
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟信越線,東日本旅客鉄道,信越線,jr_conventional,disconnected,55,181.1,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟磐越西線,東日本旅客鉄道,磐越西線,jr_conventional,ordinary_linear,43,175.0,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟東海道線,東日本旅客鉄道,東海道線,jr_conventional,complex_multicycle,46,167.3,,pending
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟五能線,東日本旅客鉄道,五能線,jr_conventional,ordinary_linear,43,147.4,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟水郡線,東日本旅客鉄道,水郡線,jr_conventional,branched_terminal,45,146.9,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟只見線,東日本旅客鉄道,只見線,jr_conventional,ordinary_linear,36,135.5,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟総武線,東日本旅客鉄道,総武線,jr_conventional,branched_terminal,48,127.6,,unverified
18,J03-1,jp,JR東日本在来線,東日本旅客鉄道␟内房線,東日本旅客鉄道,内房線,jr_conventional,ordinary_linear,30,121.7,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟成田線,東日本旅客鉄道,成田線,jr_conventional,branched_terminal,27,117.6,,pending
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟花輪線,東日本旅客鉄道,花輪線,jr_conventional,ordinary_linear,27,107.2,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟山田線,東日本旅客鉄道,山田線,jr_conventional,ordinary_linear,15,101.1,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟飯山線,東日本旅客鉄道,飯山線,jr_conventional,ordinary_linear,31,97.0,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟外房線,東日本旅客鉄道,外房線,jr_conventional,ordinary_linear,27,96.3,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟陸羽東線,東日本旅客鉄道,陸羽東線,jr_conventional,ordinary_linear,27,94.4,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟八高線,東日本旅客鉄道,八高線,jr_conventional,ordinary_linear,23,94.1,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟米坂線,東日本旅客鉄道,米坂線,jr_conventional,ordinary_linear,20,91.6,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟釜石線,東日本旅客鉄道,釜石線,jr_conventional,ordinary_linear,24,90.2,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟磐越東線,東日本旅客鉄道,磐越東線,jr_conventional,ordinary_linear,16,85.8,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟両毛線,東日本旅客鉄道,両毛線,jr_conventional,ordinary_linear,19,84.7,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟越後線,東日本旅客鉄道,越後線,jr_conventional,branched_terminal,33,84.2,,unverified
19,J03-2,jp,JR東日本在来線,東日本旅客鉄道␟高崎線,東日本旅客鉄道,高崎線,jr_conventional,ordinary_linear,19,80.0,,unverified
20,J03-3,jp,JR東日本在来線,東日本旅客鉄道␟小海線,東日本旅客鉄道,小海線,jr_conventional,ordinary_linear,31,79.0,,unverified
20,J03-3,jp,JR東日本在来線,東日本旅客鉄道␟武蔵野線,東日本旅客鉄道,武蔵野線,jr_conventional,disconnected,27,77.3,,unverified
20,J03-3,jp,JR東日本在来線,東日本旅客鉄道␟田沢湖線,東日本旅客鉄道,田沢湖線,jr_conventional,ordinary_linear,18,75.7,,unverified
20,J03-3,jp,JR東日本在来線,東日本旅客鉄道␟大糸線,東日本旅客鉄道,大糸線,jr_conventional,ordinary_linear,33,70.5,,unverified
