"Traveling Direction","Stops Code","Stops Name"
"Westbound","T","Shau Kei Wan Terminus"
"Westbound","02W","Chai Wan Road"
"Westbound","04W","Sun Sing Street"
"Westbound","06W","Hoi Foo Street"
"Westbound","08W","Holy Cross Path"
"Westbound","10W","Tai Hong Street"
"Westbound","12W","Tai Koo Shing Road"
"Westbound","14W","Kornhill"
"Westbound","16W","Shipyard Lane"
"Westbound","18W","Mount Parker Road"
"Westbound","20W","Finnie Street"
"Westbound","22W","Java Road"
"Westbound","24W","Healthy Street East"
"Westbound","26W","Healthy Street West"
"Westbound","28W","Tin Chiu Street"
"Westbound","30W","Shu Kuk Street"
"Westbound","T","North Point Terminus"
"Westbound","32W","North Point Road"
"Westbound","34W","Fortress Hill"
"Westbound","36W","Jupiter Street"
"Westbound","38W","Lau Li Street"
"Westbound","40W","Lau Sin Street"
"Westbound","42W","Victoria Park"
"Westbound","44W","Shelter Street"
"Westbound","T","Causeway Bay Terminus"
"Westbound","46W","Pennington Street"
"Westbound","48W","Paterson Street"
"Southbound",105,"Foo Ming Street"
"Southbound",106,"Leighton Road"
"Southbound",107,"Broadwood Road"
"Southbound",108,"Wong Nai Chung Road"
"Southbound","T","Happy Valley Terminus"
"Northbound",109,"Colonial Cemetery"
"Northbound",110,"Queen's Road East"
"Northbound",111,"Morrison Hill Road"
"Northbound",112,"Tin Lok Lane"
"Westbound","50W","Canal Road West"
"Westbound","52W","Tonnochy Road"
"Westbound","54W","Burrows Street"
"Westbound","56W","O'Brien Road"
"Westbound","58W","Swatow Street"
"Westbound","60W","Gresson Street"
"Westbound","62W","Arsenal Street"
"Westbound","64W","Admiralty MTR Station"
"Westbound","66W","Cotton Tree Drive"
"Westbound","68W","Bank Street"
"Westbound","70W","Pedder Street"
"Westbound","72W","Pottinger Street"
"Westbound","74W","Gilman Street"
"Westbound","76W","Man Wah Lane"
"Westbound","T","Western Market Terminus"
"Westbound","78W","Macau Ferry Terminal"
"Westbound","80W","Connaught Road West"
"Westbound","82W","Sutherland Street"
"Westbound","84W","Eastern Street"
"Westbound","86W","Western Street"
"Westbound","88W","Water Street"
"Westbound","90W","Whitty Street"
"Westbound","92W","Hill Road"
"Westbound","94W","Whitty Street Depot (Shing Sai Road) passenger alight only"
"Westbound","D","Whitty Street Depot"
"Westbound","96W","Queen's Road West"
"Westbound","98W","Kennedy Town Praya"
"Westbound","100W","Sands Street"
"Westbound","102W","Smithfield"
"Westbound","104W","Davis Street"
"Eastbound","101E","Chai Wan Road"
"Eastbound","99E","Nam Hong Street"
"Eastbound","97E","Sai Wan Ho Depot"
"Eastbound","95E","Hoi Foo Street"
"Eastbound","93E","Tai On Street"
"Eastbound","91E","Tai Hong Street"
"Eastbound","89E","Tai Koo Shing Road"
"Eastbound","87E","Kornhill"
"Eastbound","85E","Shipyard Lane"
"Eastbound","83E","Mount Parker Road"
"Eastbound","81E","Finnie Street"
"Eastbound","79E","Java Road"
"Eastbound","77E","Healthy Street East"
"Eastbound","75E","Healthy Street West"
"Eastbound","73E","Tin Chiu Street"
"Eastbound","71E","Shu Kuk Street"
"Eastbound","69E","North Point Road"
"Eastbound","67E","Chun Yeung Street"
"Eastbound","65E","Fortress Hill"
"Eastbound","63E","Jupiter Street"
"Eastbound","61E","Wing Hing Street"
"Eastbound","59E","Hing Fat Street"
"Eastbound","57E","Victoria Park"
"Eastbound","55E","Shelter Street"
"Eastbound","53E","Paterson Street"
"Eastbound","51E","Percival Street"
"Eastbound","49E","Canal Road West"
"Eastbound","47E","Tonnochy Road"
"Eastbound","45E","Fleming Road"
"Eastbound","43E","O'Brien Road"
"Eastbound","41E","Luard Road"
"Eastbound","39E","Fenwick Street"
"Eastbound","37E","Arsenal Street"
"Eastbound","35E","Admiralty MTR Station"
"Eastbound","33E","Murray Road"
"Eastbound","31E","Bank Street"
"Eastbound","29E","Ice House Street"
"Eastbound","27E","Pedder Street"
"Eastbound","25E","Jubilee Street"
"Eastbound","23E","Gilman Street"
"Eastbound","21E","Hillier Street"
"Eastbound","T","Western Market Terminus"
"Eastbound","19E","Macau Ferry Terminal"
"Eastbound","17E","Queen Street"
"Eastbound","15E","Eastern Street"
"Eastbound","13E","Western Street"
"Eastbound","11E","Water Street"
"Eastbound","09E","Whitty Street"
"Eastbound","T","Shek Tong Tsui Terminus"
"Eastbound","07E","Hill Road"
"Eastbound","05E","Queen's Road West"
"Eastbound","03E","Holland Street"
"Eastbound","01E","North Street"
"Eastbound","T","Kennedy Town Terminus"
