"行驶方向","车站代号","车站名称"
"西行","T","筲箕湾总站"
"西行","02W","柴湾道"
"西行","04W","新成街"
"西行","06W","海富街"
"西行","08W","圣十字径"
"西行","10W","太康街"
"西行","12W","太古城道"
"西行","14W","康山"
"西行","16W","船坞里"
"西行","18W","柏架山道"
"西行","20W","芬尼街"
"西行","22W","渣华道"
"西行","24W","健康东街"
"西行","26W","健康西街"
"西行","28W","电照街"
"西行","30W","书局街"
"西行","T","北角总站"
"西行","32W","北角道"
"西行","34W","炮台山"
"西行","36W","木星街"
"西行","38W","琉璃街"
"西行","40W","留仙街"
"西行","42W","维多利亚公园"
"西行","44W","信德街"
"西行","T","铜锣湾总站"
"西行","46W","边宁顿街"
"西行","48W","百德新街"
"南行",105,"富明街"
"南行",106,"礼顿道"
"南行",107,"乐活道"
"南行",108,"黄泥涌道"
"南行","T","跑马地总站"
"北行",109,"天主教坟场"
"北行",110,"皇后大道东"
"北行",111,"摩利臣山道"
"北行",112,"天乐里"
"西行","50W","坚拿道西"
"西行","52W","杜老志道"
"西行","54W","巴路士街"
"西行","56W","柯布连道"
"西行","58W","汕头街"
"西行","60W","机利臣街"
"西行","62W","军器厂街"
"西行","64W","金钟港铁站"
"西行","66W","红棉道"
"西行","68W","银行街"
"西行","70W","毕打街"
"西行","72W","砵甸乍街"
"西行","74W","机利文街"
"西行","76W","文华里"
"西行","T","上环 (西港城) 总站"
"西行","78W","港澳码头"
"西行","80W","干诺道西"
"西行","82W","修打兰街"
"西行","84W","东边街"
"西行","86W","西边街"
"西行","88W","水街"
"西行","90W","屈地街"
"西行","92W","山道"
"西行","94W","屈地街电车厂(城西道)只落客"
"西行","D","屈地街电车厂"
"西行","96W","皇后大道西"
"西行","98W","坚尼地城海傍"
"西行","100W","山市街"
"西行","102W","士美菲路"
"西行","104W","爹核士街"
"东行","101E","柴湾道"
"东行","99E","南康街"
"东行","97E","西湾河电车厂"
"东行","95E","海富街"
"东行","93E","太安街"
"东行","91E","太康街"
"东行","89E","太古城道"
"东行","87E","康山"
"东行","85E","船坞里"
"东行","83E","柏架山道"
"东行","81E","芬尼街"
"东行","79E","渣华道"
"东行","77E","健康东街"
"东行","75E","健康西街"
"东行","73E","电照街"
"东行","71E","书局街"
"东行","69E","北角道"
"东行","67E","春秧街"
"东行","65E","炮台山"
"东行","63E","木星街"
"东行","61E","永兴街"
"东行","59E","兴发街"
"东行","57E","维多利亚公园"
"东行","55E","信德街"
"东行","53E","百德新街"
"东行","51E","波斯富街"
"东行","49E","坚拿道西"
"东行","47E","杜老志道"
"东行","45E","菲林明道"
"东行","43E","柯布连道"
"东行","41E","卢押道"
"东行","39E","分域街"
"东行","37E","军器厂街"
"东行","35E","金钟港铁站"
"东行","33E","美利道"
"东行","31E","银行街"
"东行","29E","雪厂街"
"东行","27E","毕打街"
"东行","25E","租庇利街"
"东行","23E","机利文街"
"东行","21E","禧利街"
"东行","T","上环 (西港城) 总站"
"东行","19E","港澳码头"
"东行","17E","皇后街"
"东行","15E","东边街"
"东行","13E","西边街"
"东行","11E","水街"
"东行","09E","屈地街"
"东行","T","石塘咀总站"
"东行","07E","山道"
"东行","05E","皇后大道西"
"东行","03E","荷兰街"
"东行","01E","北街"
"东行","T","坚尼地城总站"
