역사명,전화번호,지번주소,도로명주소,위도,경도,역사관련링크
불암,055-310-9610,경상남도 김해시 불암동 193-24 불암역,경상남도 김해시 김해대로 2787,35.22216258,128.9278931,http://www.bglrt.com/00011/00149.web?scode=910
지내,055-310-9611,경상남도 김해시 지내동 165-1 지내역,경상남도 김해시 김해대로 2718,35.22750079,128.9237205,http://www.bglrt.com/00011/00149.web?scode=911
김해대학(안동),055-310-9612,경상남도 김해시 안동 568-2 김해대학역,경상남도 김해시 김해대로 2641,35.22899575,128.9156126,http://www.bglrt.com/00011/00149.web?scode=912
인제대(활천),055-310-9613,경상남도 김해시 삼정동 150-44 인제대역,경상남도 김해시 김해대로 2515,35.22810002,128.9017368,http://www.bglrt.com/00011/00149.web?scode=913
김해시청,055-310-9614,경상남도 김해시 부원동 559-1 김해시청역,경상남도 김해시 김해대로 2408,35.22710363,128.8904116,http://www.bglrt.com/00011/00149.web?scode=914
부원(아이스퀘어몰),055-310-9615,경상남도 김해시 부원동 606-13 부원역,경상남도 김해시 김해대로 2350,35.22646715,128.8839,http://www.bglrt.com/00011/00149.web?scode=915
봉황(김해여객터미널),055-310-9616,경상남도 김해시 전하동 1232 봉황역,경상남도 김해시 김해대로 2249,35.22726621,128.8743058,http://www.bglrt.com/00011/00149.web?scode=916
수로왕릉(김해보건소),055-310-9617,경상남도 김해시 외동 1140-1 수로왕릉 정거장,경상남도 김해시 김해대로 2181,35.23282105,128.8721413,http://www.bglrt.com/00011/00149.web?scode=917
박물관,055-310-9618,경상남도 김해시 내동 1037-1 박물관역,경상남도 김해시 김해대로 2103,35.2400654,128.8718635,http://www.bglrt.com/00011/00149.web?scode=918
연지공원,055-310-9619,경상남도 김해시 구산동 1072-8 연지공원역,경상남도 김해시 해반천로 5,35.24965739,128.8692912,http://www.bglrt.com/00011/00149.web?scode=919
장신대(화정),055-310-9620,경상남도 김해시 삼계동 1520-2 장신대 정거장,경상남도 김해시 해반천로 129,35.25955584,128.8671134,http://www.bglrt.com/00011/00149.web?scode=920
가야대(삼계),055-310-9621,경상남도 김해시 삼계동 1519-7,경상남도 김해시 해반천로 211,35.26672766,128.8650711,http://www.bglrt.com/00011/00149.web?scode=921
