도착역출발역,수서,동탄,지제,천안아산,오송,대전,김천구미,동대구,신경주,울산,부산
수서,0,32.4,53.4,78.5,107.2,142.3,216.1,269.2,318.2,348.2,399.9
동탄,0,0,21,46.1,74.8,109.9,183.7,236.8,285.8,315.8,367.5
지제,0,0,0,25.1,53.8,88.9,162.7,215.8,264.8,294.8,346.5
천안아산,0,0,0,0,28.7,63.8,137.6,190.7,239.7,269.7,321.4
오송,0,0,0,0,0,35.1,108.9,162,211,241,292.7
대전,0,0,0,0,0,0,73.8,126.9,175.9,205.9,257.6
김천구미,0,0,0,0,0,0,0,53.1,102.1,132.1,183.8
동대구,0,0,0,0,0,0,0,0,49,79,130.7
신경주,0,0,0,0,0,0,0,0,0,30,81.7
울산,0,0,0,0,0,0,0,0,0,0,51.7
부산,0,0,0,0,0,0,0,0,0,0,0
