철도운영기관명,선명,역명,경도,위도
서울교통공사,2호선,강남,127.02795,37.49805
서울교통공사,2호선,강변(동서울터미널),127.094684,37.535161
서울교통공사,2호선,건대입구,127.069231,37.540408
서울교통공사,2호선,교대(법원.검찰청),127.014431,37.493957
서울교통공사,2호선,구로디지털단지,126.901456,37.4852931
서울교통공사,2호선,구의(광진구청),127.0862124,37.537157
서울교통공사,2호선,까치산,126.84694,37.53142
서울교통공사,2호선,낙성대,126.963583,37.47713
서울교통공사,2호선,당산,126.902611,37.534807
서울교통공사,2호선,대림(구로구청),126.8949793,37.4932826
서울교통공사,2호선,도림천,126.882586,37.5145589
서울교통공사,2호선,동대문역사문화공원,127.009083,37.565609
서울교통공사,2호선,뚝섬,127.047413,37.54718
서울교통공사,2호선,문래,126.894766,37.517993
서울교통공사,2호선,방배,126.997627,37.481469
서울교통공사,2호선,봉천,126.941696,37.482416
서울교통공사,2호선,사당,126.981631,37.476536
서울교통공사,2호선,삼성(무역센터),127.063203,37.508827
서울교통공사,2호선,상왕십리,127.029322,37.564444
서울교통공사,2호선,서울대입구(관악구청),126.952745,37.481233
서울교통공사,2호선,서초,127.007685,37.49191
서울교통공사,2호선,선릉,127.048174,37.504257
서울교통공사,2호선,성수,127.055983,37.544628
서울교통공사,2호선,시청,126.975271,37.563534
서울교통공사,2호선,신답,127.047048,37.569847
서울교통공사,2호선,신당,127.0194259,37.565675
서울교통공사,2호선,신대방,126.913479,37.487604
서울교통공사,2호선,신도림,126.891222,37.508815
서울교통공사,2호선,신림,126.929573,37.484216
서울교통공사,2호선,신설동,127.025158,37.574653
서울교통공사,2호선,신정네거리,126.852849,37.520218
서울교통공사,2호선,신촌,126.93689,37.555153
서울교통공사,2호선,아현,126.956079,37.557407
서울교통공사,2호선,양천구청,126.865593,37.5123294
서울교통공사,2호선,역삼,127.03643,37.500658
서울교통공사,2호선,영등포구청,126.896627,37.525766
서울교통공사,2호선,왕십리,127.0370615,37.561289
서울교통공사,2호선,용답,127.0508786,37.562066
서울교통공사,2호선,용두(동대문구청),127.03811,37.574012
서울교통공사,2호선,을지로3가,126.990873,37.566292
서울교통공사,2호선,을지로4가,126.997622,37.566611
서울교통공사,2호선,을지로입구,126.982569,37.565998
서울교통공사,2호선,이대,126.945897,37.556734
서울교통공사,2호선,잠실(송파구청),127.100129,37.513305
서울교통공사,2호선,잠실나루,127.103836,37.520688
서울교통공사,2호선,잠실새내,127.086224,37.511653
서울교통공사,2호선,종합운동장,127.073841,37.511128
서울교통공사,2호선,충정로(경기대입구),126.964455,37.559742
서울교통공사,2호선,한양대,127.0436594,37.555758
서울교통공사,2호선,합정,126.914557,37.550025
서울교통공사,2호선,홍대입구,126.923643,37.556748
