철도운영기관명,선명,역명,경도,위도
의정부경량전철주식회사,의정부,발곡,127.008569,37.275361
의정부경량전철주식회사,의정부,회룡,127.046786,37.725053
의정부경량전철주식회사,의정부,범골,127.04372,37.728728
의정부경량전철주식회사,의정부,경전철의정부,127.043321,37.7373
의정부경량전철주식회사,의정부,의정부시청,127.034854,37.739249
의정부경량전철주식회사,의정부,흥선,127.037177,37.743225
의정부경량전철주식회사,의정부,의정부중앙,127.049633,37.743719
의정부경량전철주식회사,의정부,동오,127.05703,37.745191
의정부경량전철주식회사,의정부,새말,127.063869,37.748899
의정부경량전철주식회사,의정부,경기도청북부청사,127.07148,37.750732
의정부경량전철주식회사,의정부,효자,127.077316,37.753985
의정부경량전철주식회사,의정부,곤제,127.083865,37.750543
의정부경량전철주식회사,의정부,어룡(용현산업단지),127.085205,37.742722
의정부경량전철주식회사,의정부,송산,127.087275,37.73717
의정부경량전철주식회사,의정부,탑석,127.088906,37.733554
