철도운영기관,선명,역명,경도,위도
서울시메트로9호선주식회사,9호선,가양,126.854456,37.561391
서울시메트로9호선주식회사,9호선,개화,126.798153,37.578608
서울시메트로9호선주식회사,9호선,고속터미널,127.004943,37.50481
서울시메트로9호선주식회사,9호선,공항시장,126.810678,37.563726
서울시메트로9호선주식회사,9호선,구반포,126.987332,37.501364
서울시메트로9호선주식회사,9호선,국회의사당,126.917874,37.528105
서울시메트로9호선주식회사,9호선,김포공항,126.801058,37.562434
서울시메트로9호선주식회사,9호선,노들,126.953222,37.512887
서울시메트로9호선주식회사,9호선,노량진,126.942454,37.514219
서울시메트로9호선주식회사,9호선,당산,126.902281,37.53438
서울시메트로9호선주식회사,9호선,동작(현충원),126.979306,37.502971
서울시메트로9호선주식회사,9호선,둔촌오륜,127.138619,37.519339
서울시메트로9호선주식회사,9호선,등촌,126.865689,37.550632
서울시메트로9호선주식회사,9호선,마곡나루,126.829497,37.567336
서울시메트로9호선주식회사,9호선,봉은사,127.060245,37.514219
서울시메트로9호선주식회사,9호선,사평,127.015259,37.504206
서울시메트로9호선주식회사,9호선,삼성중앙,127.053282,37.513011
서울시메트로9호선주식회사,9호선,삼전,127.087211,37.504531
서울시메트로9호선주식회사,9호선,샛강,126.928422,37.517274
서울시메트로9호선주식회사,9호선,석촌,127.106944,37.505278
서울시메트로9호선주식회사,9호선,석촌고분,127.096611,37.502439
서울시메트로9호선주식회사,9호선,선유도,126.893525,37.53802
서울시메트로9호선주식회사,9호선,선정릉,127.043593,37.51098
서울시메트로9호선주식회사,9호선,송파나루,127.112451,37.51055
서울시메트로9호선주식회사,9호선,신논현,127.02506,37.504598
서울시메트로9호선주식회사,9호선,신목동,126.88308,37.544277
서울시메트로9호선주식회사,9호선,신반포,126.995925,37.503415
서울시메트로9호선주식회사,9호선,신방화,126.816601,37.567532
서울시메트로9호선주식회사,9호선,양천향교,126.841333,37.568381
서울시메트로9호선주식회사,9호선,언주,127.033868,37.507287
서울시메트로9호선주식회사,9호선,여의도,126.924191,37.521624
서울시메트로9호선주식회사,9호선,염창,126.874916,37.546936
서울시메트로9호선주식회사,9호선,올림픽공원(한국체대),127.130333,37.516111
서울시메트로9호선주식회사,9호선,종합운동장,127.076917,37.511156
서울시메트로9호선주식회사,9호선,중앙보훈병원,127.148488,37.528807
서울시메트로9호선주식회사,9호선,증미,126.861939,37.557402
서울시메트로9호선주식회사,9호선,한성백제,127.116211,37.516369
서울시메트로9호선주식회사,9호선,흑석(중앙대입구),126.963708,37.50877
