철도운영기관명,선명,역명,경도,위도
인천교통공사,인천1호선,간석오거리,126.707861,37.466921
인천교통공사,인천1호선,갈산,126.721566,37.517124
인천교통공사,인천1호선,검단호수공원,126.688056,37.6025
인천교통공사,인천1호선,경인교대입구,126.722603,37.538272
인천교통공사,인천1호선,계산,126.728436,37.543243
인천교통공사,인천1호선,계양,126.736319,37.571539
인천교통공사,인천1호선,국제업무지구,126.630105,37.400421
인천교통공사,인천1호선,귤현,126.742498,37.566362
인천교통공사,인천1호선,동막,126.673561,37.398173
인천교통공사,인천1호선,동수,126.718464,37.485409
인천교통공사,인천1호선,동춘,126.680835,37.404676
인천교통공사,인천1호선,문학경기장,126.698373,37.434964
인천교통공사,인천1호선,박촌,126.744946,37.553525
인천교통공사,인천1호선,부평,126.723437,37.490541
인천교통공사,인천1호선,부평구청,126.720547,37.508768
인천교통공사,인천1호선,부평삼거리,126.710494,37.478267
인천교통공사,인천1호선,부평시장,126.722282,37.498495
인천교통공사,인천1호선,선학,126.698872,37.426985
인천교통공사,인천1호선,센트럴파크,126.635002,37.392833
인천교통공사,인천1호선,송도달빛축제공원,126.6260537,37.40687495
인천교통공사,인천1호선,신검단중앙,126.698611,37.6026
인천교통공사,인천1호선,신연수,126.693853,37.418032
인천교통공사,인천1호선,아라,126.713333,37.592222
인천교통공사,인천1호선,예술회관,126.700991,37.449334
인천교통공사,인천1호선,원인재,126.687893,37.412364
인천교통공사,인천1호선,인천대입구,126.639351,37.386239
인천교통공사,인천1호선,인천시청,126.702216,37.457615
인천교통공사,인천1호선,인천터미널,126.699727,37.441917
인천교통공사,인천1호선,임학,126.738642,37.545058
인천교통공사,인천1호선,작전,126.722548,37.530271
인천교통공사,인천1호선,지식정보단지,126.645412,37.378021
인천교통공사,인천1호선,캠퍼스타운,126.661985,37.388209
인천교통공사,인천1호선,테크노파크,126.656355,37.382311
