철도운영기관명,선명,역명,역구성순서,구간키로,기점키로
부산교통공사,1호선,다대포해수욕장,1,1.5,0
부산교통공사,1호선,다대포항,2,1.1,1.5
부산교통공사,1호선,낫개,3,1.2,2.6
부산교통공사,1호선,신장림,4,0.8,3.8
부산교통공사,1호선,장림,5,1.1,4.6
부산교통공사,1호선,동매,6,1.7,5.7
부산교통공사,1호선,신평,7,1.6,7.4
부산교통공사,1호선,하단(부산본병원),8,0.8,9
부산교통공사,1호선,당리(사하구청),9,0.9,9.8
부산교통공사,1호선,사하,10,0.9,10.7
부산교통공사,1호선,괴정,11,0.8,11.6
부산교통공사,1호선,대티(동주대학),12,1.4,12.4
부산교통공사,1호선,서대신,13,0.7,13.8
부산교통공사,1호선,동대신,14,1.2,14.5
부산교통공사,1호선,토성,15,1,15.7
부산교통공사,1호선,자갈치,16,0.7,16.7
부산교통공사,1호선,남포,17,0.9,17.4
부산교통공사,1호선,중앙,18,1.1,18.3
부산교통공사,1호선,부산,19,0.8,19.4
부산교통공사,1호선,초량,20,0.8,20.2
부산교통공사,1호선,부산진,21,1,21
부산교통공사,1호선,좌천,22,0.9,22
부산교통공사,1호선,범일,23,0.8,22.9
부산교통공사,1호선,범내골,24,1.2,23.7
부산교통공사,1호선,서면,25,0.6,24.9
부산교통공사,1호선,부전(부산시민공원.송상현광장),26,1.4,25.5
부산교통공사,1호선,양정,27,0.9,26.9
부산교통공사,1호선,시청(연제),28,0.8,27.8
부산교통공사,1호선,연산,29,1.1,28.6
부산교통공사,1호선,교대,30,1.1,29.7
부산교통공사,1호선,동래,31,0.8,30.8
부산교통공사,1호선,명륜,32,1.1,31.6
부산교통공사,1호선,온천장,33,1.1,32.7
부산교통공사,1호선,부산대,34,0.9,33.8
부산교통공사,1호선,장전(부산가톨릭대학교),35,1.1,34.7
부산교통공사,1호선,구서,36,1.1,35.8
부산교통공사,1호선,두실,37,0.9,36.9
부산교통공사,1호선,남산(부산외국대학교),38,0.9,37.8
부산교통공사,1호선,범어사,39,1.2,38.7
부산교통공사,1호선,노포(종합버스터미널),40,,39.9
