"구간","출발역","도착역","역간거리(km)","역간운임(원)"
"동두천~신탄리","동두천","소요산","2.5","1600"
"동두천~신탄리","동두천","초성리","6.6","1600"
"동두천~신탄리","동두천","한탄강","9.6","1600"
"동두천~신탄리","동두천","전곡","12.1","1600"
"동두천~신탄리","동두천","인천","20.7","1600"
"동두천~신탄리","동두천","신망리","24.3","1600"
"동두천~신탄리","동두천","대광리","31.3","1600"
"동두천~신탄리","동두천","신탄리","35.7","1600"
"동두천~신탄리","동두천","백마고지","41.3","1600"
"동두천~신탄리","소요산","동두천","2.5","1600"
"동두천~신탄리","소요산","초성리","4.1","1600"
"동두천~신탄리","소요산","한탄강","7.1","1600"
"동두천~신탄리","소요산","전곡","9.6","1600"
"동두천~신탄리","소요산","인천","18.2","1600"
"동두천~신탄리","소요산","신망리","21.8","1600"
"동두천~신탄리","소요산","대광리","28.8","1600"
"동두천~신탄리","소요산","신탄리","33.2","1600"
"동두천~신탄리","소요산","백마고지","38.8","1600"
"동두천~신탄리","초성리","동두천","6.6","1600"
"동두천~신탄리","초성리","소요산","4.1","1600"
"동두천~신탄리","초성리","한탄강","3","1600"
"동두천~신탄리","초성리","전곡","5.5","1600"
"동두천~신탄리","초성리","인천","14.1","1600"
"동두천~신탄리","초성리","신망리","17.7","1600"
"동두천~신탄리","초성리","대광리","24.7","1600"
"동두천~신탄리","초성리","신탄리","29.1","1600"
"동두천~신탄리","초성리","백마고지","34.7","1600"
"동두천~신탄리","한탄강","동두천","9.6","1600"
"동두천~신탄리","한탄강","소요산","7.1","1600"
"동두천~신탄리","한탄강","초성리","3","1600"
"동두천~신탄리","한탄강","전곡","2.5","1600"
"동두천~신탄리","한탄강","인천","11.1","1600"
"동두천~신탄리","한탄강","신망리","14.7","1600"
"동두천~신탄리","한탄강","대광리","21.7","1600"
"동두천~신탄리","한탄강","신탄리","26.1","1600"
"동두천~신탄리","한탄강","백마고지","31.7","1600"
"동두천~신탄리","전곡","동두천","12.1","1600"
"동두천~신탄리","전곡","소요산","9.6","1600"
"동두천~신탄리","전곡","초성리","5.5","1600"
"동두천~신탄리","전곡","한탄강","2.5","1600"
"동두천~신탄리","전곡","인천","8.6","1600"
"동두천~신탄리","전곡","신망리","12.2","1600"
"동두천~신탄리","전곡","대광리","19.2","1600"
"동두천~신탄리","전곡","신탄리","23.6","1600"
"동두천~신탄리","전곡","백마고지","29.2","1600"
"동두천~신탄리","인천","동두천","20.7","1600"
"동두천~신탄리","인천","소요산","18.2","1600"
"동두천~신탄리","인천","초성리","14.1","1600"
"동두천~신탄리","인천","한탄강","11.1","1600"
"동두천~신탄리","인천","전곡","8.6","1600"
"동두천~신탄리","인천","신망리","3.6","1600"
"동두천~신탄리","인천","대광리","10.6","1600"
"동두천~신탄리","인천","신탄리","15","1600"
"동두천~신탄리","인천","백마고지","20.6","1600"
"동두천~신탄리","신망리","동두천","24.3","1600"
"동두천~신탄리","신망리","소요산","21.8","1600"
"동두천~신탄리","신망리","초성리","17.7","1600"
"동두천~신탄리","신망리","한탄강","14.7","1600"
"동두천~신탄리","신망리","전곡","12.2","1600"
"동두천~신탄리","신망리","인천","3.6","1600"
"동두천~신탄리","신망리","대광리","7","1600"
"동두천~신탄리","신망리","신탄리","11.4","1600"
"동두천~신탄리","신망리","백마고지","17","1600"
"동두천~신탄리","대광리","동두천","31.3","1600"
"동두천~신탄리","대광리","소요산","28.8","1600"
"동두천~신탄리","대광리","초성리","24.7","1600"
"동두천~신탄리","대광리","한탄강","21.7","1600"
"동두천~신탄리","대광리","전곡","19.2","1600"
"동두천~신탄리","대광리","인천","10.6","1600"
"동두천~신탄리","대광리","신망리","7","1600"
"동두천~신탄리","대광리","신탄리","4.4","1600"
"동두천~신탄리","대광리","백마고지","10","1600"
"동두천~신탄리","신탄리","동두천","35.7","1600"
"동두천~신탄리","신탄리","소요산","33.2","1600"
"동두천~신탄리","신탄리","초성리","29.1","1600"
"동두천~신탄리","신탄리","한탄강","26.1","1600"
"동두천~신탄리","신탄리","전곡","23.6","1600"
"동두천~신탄리","신탄리","인천","15","1600"
"동두천~신탄리","신탄리","신망리","11.4","1600"
"동두천~신탄리","신탄리","대광리","4.4","1600"
"동두천~신탄리","신탄리","백마고지","5.5","1600"
"동두천~신탄리","백마고지","동두천","41.3","1600"
"동두천~신탄리","백마고지","소요산","38.8","1600"
"동두천~신탄리","백마고지","초성리","34.7","1600"
"동두천~신탄리","백마고지","한탄강","31.7","1600"
"동두천~신탄리","백마고지","전곡","29.2","1600"
"동두천~신탄리","백마고지","인천","20.6","1600"
"동두천~신탄리","백마고지","신망리","17","1600"
"동두천~신탄리","백마고지","대광리","10","1600"
"동두천~신탄리","백마고지","신탄리","5.5","1600"
"문산~도라산","문산","운천","3.7","1600"
"문산~도라산","문산","임진강","6","1600"
"문산~도라산","문산","도라산","9.7","1600"
"문산~도라산","운천","문산","3.7","1600"
"문산~도라산","운천","임진강","2.3","1600"
"문산~도라산","운천","도라산","6","1600"
"문산~도라산","임진강","문산","6","1600"
"문산~도라산","임진강","운천","2.3","1600"
"문산~도라산","임진강","도라산","3.7","1600"
"문산~도라산","도라산","문산","9.7","1600"
"문산~도라산","도라산","운천","6","1600"
"문산~도라산","도라산","임진강","3.7","1600"
