기준역명,수서,동탄,지제,천안아산,오송,공주,익산,정읍,광주송정,나주,목포
수서,0,32.4,53.4,78.5,107.2,151,197,239.1,289.6,305.4,356.4
동탄,0,0,21,46.1,74.8,118.6,164.6,206.7,257.2,273,324
지제,0,0,0,25.1,53.8,97.6,143.6,185.7,236.2,252,303
천안아산,0,0,0,0,28.7,72.5,118.5,160.6,211.1,226.9,277.9
오송,0,0,0,0,0,43.8,89.8,131.9,182.4,198.2,249.2
공주,0,0,0,0,0,0,46,88.1,138.6,154.4,205.4
익산,0,0,0,0,0,0,0,42.1,92.6,108.4,159.4
정읍,0,0,0,0,0,0,0,0,50.5,66.3,117.3
광주송정,0,0,0,0,0,0,0,0,0,15.8,66.8
나주,0,0,0,0,0,0,0,0,0,0,51
목포,0,0,0,0,0,0,0,0,0,0,0
