역번호,역간거리(m),입지현황,정거장위치,정거장형식,환승정거장
238,0,유촌동,지하,상대식,
201,1105,시청/한국은행 사거리,지하,상대식,
202,672,운천초교,지하,상대식,
203,594,상무역,지하,상대식,1호선 환승
204,1217,금호지구입구교차로,지하,상대식,
205,711,호반APT사거리,지하,상대식,
206,631,풍금사거리,지하,상대식,
207,1174,월드컵,지하,상대식,
208,901,풍암대주2차APT 교차로,지하,상대식,
209,903,원광대병원 입구,지하,상대식,
210,1004,주월2동 주민센터,지하,상대식,
211,718,백운광장,지하,상대식,
212,781,미래아동병원교차로 순환선,지하,상대식,
213,607,양림2/방림휴먼시아 교차로,지하,상대식,
214,620,남광주역,지하,상대식,1호선 환승
215,675,조선대 입구 교차로,지하,상대식,
216,872,지산사거리,지하,상대식,
217,878,두암지구입구 교차로,지하,상대식,
218,1118,교육대학/서방시장,지하,상대식,
219,932,중흥삼거리,지하,상대식,
220,1078,북구청/전남대 후문,지하,상대식,
221,630,전남대 광주생활관앞,지하,상대식,
222,731,한전전남지사 앞 교차로,지하,상대식,
223,1064,광주공고,지하,상대식,
224,754,삼각 그린타운 APT,지하,상대식,
225,920,일곡병원,지하,상대식,
226,1388,OB맥주 광주공장,지하,상대식,
227,733,본촌산단 사거리,지하,상대식,
228,900,양산우체국앞 교차로,지하,상대식,
229,640,양산타운 APT,지하,상대식,
230,890,사랑으로 부영 APT 앞,지하,상대식,
231,1390,광주국토관리사무소 앞,지하,상대식,
232,750,첨단대주APT/첨단라인1차APT,지하,상대식,
233,770,응암공원 삼거리,지하,상대식,
234,2185,수완 우미린2차 앞,지하,상대식,
235,1152,KB국민은행 수완지점,지하,상대식,
236,1338,중흥S클래스/휴먼시아 3단지 앞,지하,상대식,
237,811,운남주공1단지아파트앞,지하,상대식,
