"영업일자","역사","승차권 종류","판암역 출발","신흥역 출발","대동역 출발","대전역 출발","중앙로역 출발","중구청역 출발","서대전네거리역 출발","오룡역 출발","용문역 출발","탄방역 출발","시청역 출발","정부청사역 출발","갈마역 출발","월평역 출발","갑천역 출발","유성온천역 출발","구암역 출발","현충원역 출발","월드컵경기장역 출발","노은역 출발","지족역 출발","반석역 출발"
"2011-07-01","판암역","보통권","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","신흥역","보통권","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","대동역","보통권","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","대전역","보통권","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","중앙로역","보통권","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","중구청역","보통권","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","서대전네거리역","보통권","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","오룡역","보통권","1200","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","용문역","보통권","1200","1200","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","탄방역","보통권","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","시청역","보통권","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","정부청사역","보통권","1300","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0","0"
"2011-07-01","갈마역","보통권","1300","1300","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","0","0","0","0","0","0","0","0","0"
