length_m,rail_only_path_m,ratio,near_segment,lon1,lat1,lon2,lat2,midpoint_gmaps,trains
900,911,1,"旭川->上川",142.3727,43.75981,142.37753,43.76711,"https://maps.google.com/?q=43.76346,142.37511","大雪 / オホーツク"
889,916,1,"徳島->蔵本",134.54302,34.07849,134.53388,34.08106,"https://maps.google.com/?q=34.07977,134.53845","剣山"
888,892,1,"旭川->上川",142.38307,43.77719,142.38762,43.78447,"https://maps.google.com/?q=43.78083,142.38535","大雪 / オホーツク"
884,884,1,"新札幌->札幌",141.41776,43.05254,141.40936,43.05759,"https://maps.google.com/?q=43.05506,141.41356","北斗; おおぞら"
881,1067,1.2,"秋田->大曲",140.32139,39.57109,140.32892,39.5657,"https://maps.google.com/?q=39.56839,140.32515","こまち"
870,1057,1.2,"八幡浜->伊予大洲",132.51614,33.49098,132.51731,33.49874,"https://maps.google.com/?q=33.49486,132.51673","宇和海"
861,880,1,"伊予大洲->内子",132.63102,33.53585,132.63898,33.53985,"https://maps.google.com/?q=33.53785,132.63500","宇和海"
860,1093,1.3,"総社->備中高梁",133.61185,34.75877,133.60352,34.76238,"https://maps.google.com/?q=34.76058,133.60769","やくも; サンライズ出雲"
856,857,1,"伊予大洲->内子",132.59515,33.53425,132.60436,33.53374,"https://maps.google.com/?q=33.53400,132.59976","宇和海"
856,861,1,"児島->岡山",133.91049,34.64228,133.91063,34.64998,"https://maps.google.com/?q=34.64613,133.91056","しおかぜ"
849,862,1,"児島->岡山",133.86469,34.60675,133.87349,34.60918,"https://maps.google.com/?q=34.60797,133.86909","しおかぜ"
846,848,1,"新札幌->札幌",141.38006,43.06909,141.36966,43.06866,"https://maps.google.com/?q=43.06888,141.37486","北斗; おおぞら"
836,1071,1.3,"臼杵->大分",131.79795,33.11401,131.78934,33.11615,"https://maps.google.com/?q=33.11508,131.79364","にちりん"
783,NONE_gt30km,,"仙台->大宮",140.88466,38.22121,140.88269,38.21434,"https://maps.google.com/?q=38.21778,140.88367","こまち"
774,774,1,"児島->岡山",133.84752,34.60536,133.85594,34.60603,"https://maps.google.com/?q=34.60569,133.85173","しおかぜ"
762,NONE_gt30km,,"仙台->大宮",139.67971,36.06865,139.67577,36.06258,"https://maps.google.com/?q=36.06561,139.67774","こまち; つばさ"
750,769,1,"児島->岡山",133.82891,34.59784,133.83445,34.60281,"https://maps.google.com/?q=34.60032,133.83168","しおかぜ"
686,10008,14.6,"郡山->福島",140.45509,37.72155,140.4566,37.7276,"https://maps.google.com/?q=37.72458,140.45585","つばさ"
673,673,1,"児島->岡山",133.89831,34.6299,133.90304,34.63453,"https://maps.google.com/?q=34.63222,133.90068","しおかぜ"
606,606,1,"児島->岡山",133.82791,34.59157,133.82874,34.59698,"https://maps.google.com/?q=34.59427,133.82833","しおかぜ"
518,530,1,"伊予大洲->内子",132.64463,33.54425,132.64618,33.54873,"https://maps.google.com/?q=33.54649,132.64540","宇和海"
492,507,1,"伊予大洲->内子",132.60653,33.53343,132.61184,33.53359,"https://maps.google.com/?q=33.53351,132.60918","宇和海"
485,485,1,"徳島->蔵本",134.55049,34.07498,134.54592,34.07714,"https://maps.google.com/?q=34.07606,134.54820","剣山"
455,475,1,"伊予大洲->内子",132.61184,33.53359,132.61675,33.53368,"https://maps.google.com/?q=33.53363,132.61429","宇和海"
449,450,1,"旭川->上川",142.35949,43.76299,142.36464,43.76141,"https://maps.google.com/?q=43.76220,142.36207","大雪 / オホーツク"
445,452,1,"児島->岡山",133.83445,34.60281,133.83881,34.60458,"https://maps.google.com/?q=34.60370,133.83663","しおかぜ"
444,446,1,"和田山->竹田",134.85136,35.3414,134.85612,35.34045,"https://maps.google.com/?q=35.34092,134.85374","はまかぜ"
406,406,1,"児島->岡山",133.87349,34.60918,133.87737,34.61095,"https://maps.google.com/?q=34.61007,133.87543","しおかぜ"
373,2753,7.4,"札幌->新札幌",141.45666,43.04321,141.46075,43.04168,"https://maps.google.com/?q=43.04245,141.45871","北斗"
371,2081,5.6,"立野->赤水",130.96451,32.87792,130.96574,32.88109,"https://maps.google.com/?q=32.87951,130.96513","あそぼーい！ / 九州横断特急"
343,343,1,"児島->岡山",133.82744,34.58851,133.82791,34.59157,"https://maps.google.com/?q=34.59004,133.82767","しおかぜ"
324,324,1,"児島->岡山",133.89603,34.62767,133.89831,34.6299,"https://maps.google.com/?q=34.62879,133.89717","しおかぜ"
181,2516,13.9,"上田->長野",138.25026,36.39575,138.24913,36.3971,"https://maps.google.com/?q=36.39643,138.24970","北陸新幹線 Kagayaki/Hakutaka"
151,2188,14.5,"佐久平->上田",138.25162,36.39494,138.25026,36.39575,"https://maps.google.com/?q=36.39534,138.25094","北陸新幹線 Kagayaki/Hakutaka"
